"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,5407.51.00.000G,""CAPITULO 54 FILAMENTOS SINTETICOS O ARTIFICIALES  TEJIDOS DE HILADOS DE FILAMENTOS SINTETICOS,INCLUIDOS LOS TEJIDOS FABRICADOS CON LOSPRODUCTOS DE LA PARTIDA 54.04. -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso :  -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso :     --Crudos o blanqueados.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,5407.52.20.000N,""CAPITULO 54 FILAMENTOS SINTETICOS O ARTIFICIALES  TEJIDOS DE HILADOS DE FILAMENTOS SINTETICOS,INCLUIDOS LOS TEJIDOS FABRICADOS CON LOSPRODUCTOS DE LA PARTIDA 54.04. -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso :  -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso : --TeÃ‚Â¿idos.       Con hilos de caucho.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8421.19.90.000Q,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  CENTRIFUGADORAS INCLUIDAS LAS SECADORAS CENTRIFUGAS;" APARATOS PARA FILTRAR O DEPURAR LIQUIDOS O GASES. -Centrifugadoras, incluidas las secadoras  centrÃ‚Â¿fugas.  -Centrifugadoras, incluidas las secadoras  centrÃ‚Â¿fugas. --Las demÃ‚Â¿s.     Las demÃ‚Â¿s.     Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,5603.92.90.000C,""CAPITULO 56 GUATA, FIELTRO Y TELAS SIN TEJER"; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES;"ARTICULOS DE CORDELERIA.  TELA SIN TEJER, INCLUSO IMPREGNADA, RECUBIERTA, REVESTIDA O ESTRATIFICADA.    --De peso superior a 25 g/m2 pero inferior o igual a 70 g/m2.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,9021.90.99.000X,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS; PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  ARTICULOS Y APARATOS DE ORTOPEDIA, INCLUIDAS LASFAJAS Y VENDAJES MEDICOQUIRURGICOS Y LAS MULETAS;TABLILLAS, FERULAS U OTROS ARTICULOS Y APARATOS PARA FRACTURAS; ARTICULOS Y APARATOS DE PROTESIS;" AUDIFONOS Y DEMAS APARATOS QUE LLEVE LA PROPIA PERSONA O SE LE IMPLANTEN PARA COMPENSAR UN DEFECTO O INCAPACIDAD.    -Los demÃ‚Â¿s.    Partes y accesorios       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;
"2022,2828.90.11.000D,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  HIPOCLORITO; HIPOCLORITO DE CALCIO COMERCIAL;CLORITOS;" HIPOBROMITOS.    -Los demÃ‚Â¿s.    Hipocloritos.       De sodio.""";;;;;;;;;;;;;;;;;;;;;;
"2022,5513.41.00.000W,""CAPITULO 55  FIBRAS SINTETICAS O ARTIFICIALES DISCONTINUAS.  TEJIDOS DE FIBRAS SINTETICAS DISCONTINUAS CON UNCONTENIDO DE ESTAS FIBRAS, INFERIOR A 85%, EN PESO MEZCLADAS, EXCLUSIVA O PRINCIPALMENTE CONALGODON, DE PESO INFERIOR O IGUAL A 170 Gr/M2. -Estampados  -Estampados     --De fibras discontinuas de poliÃ‚Â¿ster, de  ligamento tafetÃ‚Â¿n.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2835.26.00.000Z,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  FOSFINATOS (HIPOFOFITOS), FOSFONATOS (FOSFITOS),Y FOSFATOS;" POLIFOSFATOS, AUNQUE NO SEAN DE CONSTITUCION QUIMICA DEFINIDA -Fosfatos:  -Fosfatos:     Los demÃ‚Â¿s fosfatos de calcio""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8517.62.62.000K,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  TELÃ‚Â¿FONOS, INCLUIDOS LOS TELÃ‚Â¿FONOS CELULARES (MÃ‚Â¿VILES)* Y LOS DE OTRAS REDES INALÃ‚Â¿MBRICAS;" LOS DEMÃ‚Â¿S APARATOS DE TRANSMISIÃ‚Â¿N O RECEPCIÃ‚Â¿N DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÃ‚Â¿N EN RED CON O SIN 84.43, 85.25, 85.27 U 85.28 - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN))  - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN)) - - Aparatos para la recepciÃ‚Â¿n, conversiÃ‚Â¿n y transmisiÃ‚Â¿n o regeneraciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de conmutaciÃ‚Â¿n o encaminamiento (Ã‚Â¿switching and routing apparatusÃ‚Â¿)   Aparatos emisores con receptor incorporado de sistema troncalizado (trunking), de tecnologÃ‚Â¿a celular o por satÃ‚Â¿lite.        De tecnologÃ‚Â¿a celular""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,5608.19.00.000C,""CAPITULO 56 GUATA, FIELTRO Y TELAS SIN TEJER"; HILADOS ESPECIALES; CORDELES, CUERDAS Y CORDAJES;ARTICULOS DE CORDELERIA.  REDES DE MALLAS ANUDADAS, EN PAÃ‚Â¿OS O EN PIEZAS,FABRICADAS CON CORDELES, CUERDAS O CORDAJES;"REDES CONFECCIONADAS PARA LA PESCA Y DEMAS REDESCONFECCIONADAS, DE MATERIAS TEXTILES. -De materias textiles sintÃ‚Â¿ticas o artificiales:  -De materias textiles sintÃ‚Â¿ticas o artificiales:     --Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8523.21.10.000Z,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  SOPORTES PREPARADOS PARA GRABAR SONIDO O     GRABACIONES ANALOGAS, SIN GRABAR, EXCEPTO LOSPRODUCTOS DEL CAPITULO 37. - Soportes magnÃ‚Â¿ticos:  - Soportes magnÃ‚Â¿ticos: - - Tarjetas con banda magnÃ‚Â¿tica incorporada            Sin grabar""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3101.00.00.000B,""CAPITULO 31  ABONOS          -ABONOS DE ORIGEN ANIMAL O VEGETAL,INCLUSOMEZCLADOS ENTRE SI O TRATADOS QUIMICAMENTE";"ABONOS PROCEDENTES DE LA MEZCLA O DEL TRATAMIENTOQUIMICO DE PRODUCTOS DE ORIGEN ANIMAL O VEGETAL.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,0710.21.00.000G,""CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.  HORTALIZAS (INCLUSO """"SILVESTRES""""), AUNQUE ESTEN COCIDAS EN AGUA O VAPOR, CONGELADAS. -Hortalizas (incluso """"silvestres"""") de vaina, incluso desvainadas:  -Hortalizas (incluso """"silvestres"""") de vaina, incluso desvainadas:     --Arvejas (chÃ‚Â¿charos, guisantes) (Pisum sativum.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,0811.90.00.000U,""CAPITULO 8FRUTOS COMESTIBLES";" CORTEZAS DE AGRIOS (CITRICOS)  O DE MELONES  FRUTAS Y OTROS FRUTOS, SIN COCER O COCIDOS EN AGUA O VAPOR, CONGELADOS, INCLUSO CON ADICION DE AZUCAR U OTRO EDULCORANTE.        -Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,0710.80.00.000E,""CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.  HORTALIZAS (INCLUSO """"SILVESTRES""""), AUNQUE ESTEN COCIDAS EN AGUA O VAPOR, CONGELADAS.        -Las demÃ‚Â¿s hortalizas (incluso """"silvestres"""").""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8477.20.90.000L,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS Y APARATOS PARA TRABAJAR CAUCHO O PLASTICOS O PARA FABRICAR PRODUCTOS DE ESTASMATERIAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPITULO.    -Extrusoras.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2526.20.00.000F,""CAPITULO 25 SAL"; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS  ESTEATITA NATURAL, INCLUSO DESBASTADA O SIMPLEMENTE TROCEADA, POR ASERRADO O DE OTROMODO, EN BLOQUES O EN PLACAS CUADRADAS O RECTANGULARES;" TALCO.        -Triturados o pulverizados.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8414.90.31.000E,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS DE AIRE O DE VACIO, COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES;" CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO, CON VENTILADOR INCORPORADO, INCLUSO CON FILTRO.    -Partes.    De compresores.     Embolos (pistones)      Embolos (pistones).""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,2811.21.00.000Z,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";"COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  LOS DEMAS ACIDOS INORGANICOS Y LOS DEMAS COMPUESTOS OXIGENADOS INORGANICOS DE LOS ELEMENTOS NO METALICOS. -Los demÃ‚Â¿s compuestos oxigenados inorgÃ‚Â¿nicos de los elementos no metÃ‚Â¿licos:  -Los demÃ‚Â¿s compuestos oxigenados inorgÃ‚Â¿nicos de los elementos no metÃ‚Â¿licos:     --DiÃ‚Â¿xido de carbono.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8527.21.00.000N,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS RECEPTORES DE RADIODIFUSIÃ‚Â¿N, INCLUSO COMBINADOS EN LA MISMA ENVOLTURA CON GRABADOR O REPRODUCTOR DE SONIDO O CON RELOJ. - Aparatos receptores de radiodifusiÃ‚Â¿n que solo funcionen con fuente de energÃ‚Â¿a exterior, de los tipos utilizados en vehÃ‚Â¿culos automÃ‚Â¿viles:   - Aparatos receptores de radiodifusiÃ‚Â¿n que solo funcionen con fuente de energÃ‚Â¿a exterior, de los tipos utilizados en vehÃ‚Â¿culos automÃ‚Â¿viles:  --Combinados con un aparato de grabaciÃ‚Â¿n  o de reproducciÃ‚Â¿n de sonido.    --Combinados con un aparato de grabaciÃ‚Â¿no de reproducciÃ‚Â¿n de sonido.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7017.20.00.000P,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  ARTICULOS DE VIDRIO PARA LABORATORIO, HIGIENE OFARMACIA, INCLUSO GRADUADOS O CALIBRADOS.        -De otro vidrio con un coeficiente de     dilataciÃ‚Â¿n lineal inferior o igual a 5x10-6 porKelvin, entre 0 Ã‚Â¿C y 300 Ã‚Â¿C.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2832.10.10.000T,""CAPITULO 28 PRODUCTOS QUIMICOS INORGANICOS";COMPUESTOS  INORGANICOS U ORGANICOS DE METALES PRECIOSOS,DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS  TIERRAS RARAS O DE ISOTOPOS  SULFITOS;" TIOSULFATOS.    -Sulfitos de sodio.       De disodio.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,6807.10.00.000Y,""CAPITULO 68  MANUFACTURAS DE PIEDRA, YESO, CEMENTO, AMIANTO,  MICA O MATERIAS ANALOGAS.  MANUFACTURAS DE ASFALTO O DE PRODUCTOS SIMILARES(POR EJEMPLO: PEZ DE PETROLEO, BREA).        -En rollos.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8209.00.11.000R,""CAPITULO 82  HERRAMIENTAS Y UTLES, ARTICULOS DE CUCHILLERIAY CUBIERTOS DE MESA, DE METALES COMUNES";" PARTESDE ESTOS ARTICULOS, DE METALES COMUNES      PLAQUITAS, VARILLAS, PUNTAS Y ARTICULOS SIMILARESPARA UTILES, SIN MONTAR, DE CERMETS.    Plaquitas o pastillas.       Intercambiables.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6505.00.12.000C,""CAPITULO 65 TOCADOS Y SUS PARTES  SOMBREROS Y DEMAS TOCADOS, DE PUNTO O CONFECCIONADOS CON ENCAJE, DE FIELTRO O DE OTRO PRODUCTO TEXTIL, EN PIEZA (PERO NO EN TIRAS), INCLUSO GUARNECIDOS"; REDECILLAS PARA EL CABELLO, DE CUALQUIER MATERIA, INCLUSO GUARNECIDAS.    SOMBREROS Y DEMÃ‚Â¿S TOCADOS, DE PUNTO O CONFECCIONADOS CON ENCAJE, FIELTRO U OTRO PRODUCTO TEXTIL, EN PIEZA (PERO NO EN TIRAS), INCLUSO GUARNECIDOS;" REDECILLAS PARA EL CABELLO, DE CUALQUIER MATERIA, INCLUSO GUARNECIDAS. --- Gorros con visera   De fibras sintÃ‚Â¿ticas o artificiales""";;;;;;;;;;;;;;;;;;;;;;;;
2022,1108.12.00.000B,CAPITULO 11PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON YFECULA; INULINA; GLUTEN DE TRIGO  ALMIDON Y FECULA; INULINA. -AlmidÃ‚Â¿n y fÃ‚Â¿cula:  -AlmidÃ‚Â¿n y fÃ‚Â¿cula:     --AlmidÃ‚Â¿n de maÃ‚Â¿z.;;;;;;;;;;;;;;;;;;;;;
"2022,8443.99.22.000D,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MÃ‚Â¿QUINAS Y APARATOS PARA IMPRIMIR MEDIANTE PLANCHAS, CILINDROS Y DEMÃ‚Â¿S ELEMENTOS IMPRESORES DE LA PARTIDA 84.42; LAS DEMÃ‚Â¿S MÃ‚Â¿QUINAS IMPRESORAS, COPIADORAS Y DE FAX, INCLUSO COMBINADAS ENTRE SÃ‚Â¿;" PARTES Y ACCESORIOS. - Partes y accesorios:  - Partes y accesorios: - - Los demÃ‚Â¿s Mecanismos de impresiÃ‚Â¿n a chorro de tinta, sus partes y accesorios   Cabezales de impresiÃ‚Â¿n""";;;;;;;;;;;;;;;;;;;;;;;
"2022,3405.20.00.000Y,""CAPITULO 34 JABONES, AGENTES DE SUPERFICIE ORGANICOS,  PREPARACIONES PARA LAVAR, PREPARACIONESLUBRICANTES, CERAS ARTIFICIALES, CERAS PREPARADAS,PRODUCTOS DE LIMPIEZA, VELAS Y ARTICULOS SIMILARES, PASTAS PARA MODELAR, CERAS PARA ODONTOLOGIA Y PREPARACIONES PARA USO EN  ODONTOLOGIA A BASE DE YESO FRAGUABLE.  BETUNES Y CREMAS PARA EL CALZADO, ENCAUSTICOS,ABRILLANTADORES(LUSTRES)PARA CARROCERIAS,VIDRIO O METAL, PASTAS Y POLVOS PARA FREGAR Y PREPARACIONES SIMILARES(INCLUSO PAPEL, GUATA, FIELTRO, TELA SINTEJER, PLASTICO O CAUCHO CELULARES, IMPREGNADOS,RECUBIERTOS O REVESTIDOS DE ESTAS PREPARACIONES),EXCEPTO LAS CERAS DE LA PARTIDA No 34.04.        -EncÃ‚Â¿usticos y preparaciones similares para la conservaciÃ‚Â¿n de muebles de madera, parquÃ‚Â¿s u otras manufacturas de madera.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4806.20.00.000B,""CAPITULO 48 PAPEL Y CARTON";" MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON SULFURIZADOS, PAPEL RESISTENTE A LAS GRASAS, PAPEL VEGETAL,PAPEL CRISTAL Y DEMAS PAPELES CALANDRADOSTRANSPARENTES O TRASLUCIDOS, EN BOBINAS(ROLLOS) O EN HOJAS.        -Papel resistente a las grasas (""""greaseproof"""").""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6212.90.00.000A,""CAPITULO 62  PRENDAS Y COMPLEMENTOS (ACCESORIOS) DE VESTIR,  EXCEPTO LOS DE PUNTO  SOSTENES (CORPIÃ‚Â¿OS), FAJAS, CORSES, TIRANTES (TIRADORES), LIGAS Y ARTICULOS SIMILARES, Y SUS PARTES, INCLUSO DE PUNTO.        -Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,5512.19.00.000F,""CAPITULO 55  FIBRAS SINTETICAS O ARTIFICIALES DISCONTINUAS.  TEJIDOS DE FIBRAS SINTETICAS DISCONTINUAS, CONUN CONTENIDO DE FIBRAS SINTETICAS DISCONTINUAS,SUPERIOR O IGUAL A 85% EN PESO. -Con un contenido de fibras discontinuas de poliÃ‚Â¿ster, superior o igual a 85% en peso:  -Con un contenido de fibras discontinuas de poliÃ‚Â¿ster, superior o igual a 85% en peso:     --Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,5407.54.00.000T,""CAPITULO 54 FILAMENTOS SINTETICOS O ARTIFICIALES  TEJIDOS DE HILADOS DE FILAMENTOS SINTETICOS,INCLUIDOS LOS TEJIDOS FABRICADOS CON LOSPRODUCTOS DE LA PARTIDA 54.04. -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso :  -Los demÃ‚Â¿s tejidos con un contenido de filamentos de poliester texturados, superior o igual a 85% en peso :     --Estampados.""";;;;;;;;;;;;;;;;;;;;;;;;;;
2022,8903.99.00.000U,CAPITULO 89 BARCOS Y DEMAS ARTEFACTOS FLOTANTES  Yates y demÃ‚Â¿s barcos y embarcaciones de recreo o deporte; barcas (botes) de remo y canoas. -Los demÃ‚Â¿s  -Los demÃ‚Â¿s     --Los demÃ‚Â¿s.;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8547.20.90.000F,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  PIEZAS AISLANTES TOTALMENTE DE MATERIA AISLANTEO QUE LLEVEN SIMPLES PIEZAS METALICAS DEENSAMBLADO (POR EJEMPLO: CASQUILLOS ROSCADOS)EMBUTIDAS EN LA MASA, PARA MAQUINAS, APARATOS OINSTALACIONES ELECTRICAS, EXCEPTO LOS AISLADORESDE LA PARTIDA 85.46;" TUBOS AISLADORES Y SUSPIEZAS DE UNION, DE METALES COMUNES, AISLADOSINTERIORMENTE.    -Piezas aislantes de plÃ‚Â¿stico       Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,2710.12.49.100K,""CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION"; MATERIAS BITUMINOSAS; CERAS MINERALES.  ACEITES DE PETRÃ‚Â¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETRÃ‚Â¿LEO O DE MINERAL BITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE;" DESECHOS DE ACEITES. - Aceites de petrÃ‚Â¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petrÃ‚Â¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiÃ‚Â¿sel  y los desechos de aceites:  - Aceites de petrÃ‚Â¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petrÃ‚Â¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiÃ‚Â¿sel  y los desechos de aceites: -- Aceites livianos (ligeros)* y preparaciones --- Naftas ---- Las demas  Nafta virgen (Nafta de Topping de primera destilaciÃ‚Â¿n)""";;;;;;;;;;;;;;;;;;;;;;
"2022,7010.90.11.000B,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  BOMBONAS (DAMAJUANAS), BOTELLAS, FRASCOS, BOCALES, TARROS, ENVASES TUBULARES, AMPOLLAS Y DEMAS RECIPIENTES PARA EL TRANSPORTE O ENVASADO, DE VIDRIO"; BOCALES PARA CONSERVAS, DE VIDRIO;" TAPONES, TAPAS Y DEMAS DISPOSITIVOS DE CIERRE, DE VIDRIO. -Los demÃ‚Â¿s, de capacidad:  -Los demÃ‚Â¿s, de capacidad: -Los demÃ‚Â¿s    De capacidad superior a 1 l       Bombonas (damajuanas) y botellas""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8511.20.90.000H,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  APARATOS Y DISPOSITIVOS ELECTRICOS DE ENCENDIDO ODE ARRANQUE, PARA MOTORES DE ENCENDIDO POR CHISPAO POR COMPRESION (POR EJEMPLO: MAGNETOS, DINAMOMAGNETOS, BOBINAS DE ENCENDIDO, BUJIAS DE ENCENDIDO O DE CALDEO (CALENTAMIENTO), MOTORES DEARRANQUE); GENERADORES (POR EJEMPLO: DINAMOS,ALTERNADORES) Y REGULADORES DISYUNTORESUTILIZADOS CON ESTOS MOTORES.    -Magnetos; dÃ‚Â¿namo magnetos;" volantes magnÃ‚Â¿ticos.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8708.94.82.000G,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. -Las demÃ‚Â¿s partes y accesorios:  -Las demÃ‚Â¿s partes y accesorios: Volantes, columnas y cajas de direcciÃ‚Â¿n";" sus partes  Los demÃ‚Â¿s    Columnas""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.94.81.000Z,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. -Las demÃ‚Â¿s partes y accesorios:  -Las demÃ‚Â¿s partes y accesorios: Volantes, columnas y cajas de direcciÃ‚Â¿n";" sus partes  Los demÃ‚Â¿s     Volantes""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8413.30.10.000Z,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS PARA LIQUIDOS, INCLUSO CON DISPOSITIVOMEDIDOR INCORPORADO;"ELEVADORES DE LIQUIDOS.    -Bombas de carburante, de aceite o de refrigerante para motores de encendido por chispa o por compresiÃ‚Â¿n.       Para gasolina o para alcohol.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8708.29.12.000Z,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOVILES DELAS PARTIDAS 87.01 A 87.05. - Las demÃ‚Â¿s partes y accesorios de carrocerÃ‚Â¿a (incluidas las de cabina):  - Las demÃ‚Â¿s partes y accesorios de carrocerÃ‚Â¿a (incluidas las de cabina): --Los demÃ‚Â¿s. --- De los vehÃ‚Â¿culos de las subpartidas 8701.10, 8701.30, 8701.91 a 8701.95 u 8704.10       Parrillas de radiador""";;;;;;;;;;;;;;;;;;;;;;;;;;
